-19.84	72.51
-19.98	72.72
-20.11	72.94
-20.25	73.15
-20.38	73.36
-20.52	73.58
-20.65	73.79
-20.79	74.01
-20.92	74.22
-21.06	74.43
-21.19	74.65
-21.32	74.86
-21.46	75.08
-21.59	75.29
-21.72	75.51
-21.85	75.72
-21.98	75.94
-22.12	76.15
-22.25	76.37
-22.38	76.58
-22.51	76.80
-22.64	77.01
-22.77	77.23
-22.90	77.44
-23.03	77.66
-23.16	77.87
-23.29	78.09
-23.42	78.30
-23.55	78.52
-23.68	78.74
-23.81	78.95
-23.93	79.17
-24.06	79.38
-24.19	79.60
-24.32	79.82
-24.45	80.03
-24.57	80.25
-24.70	80.46
-24.83	80.68
-24.96	80.90
-25.08	81.11
-25.21	81.33
-25.34	81.54
-25.46	81.76
-25.59	81.98
-25.72	82.19
-25.84	82.41
-25.97	82.63
-26.09	82.84
-26.22	83.06
-26.35	83.28
-26.47	83.49
-26.60	83.71
-26.72	83.93
-26.85	84.14
-26.97	84.36
-27.10	84.58
-27.22	84.79
-27.35	85.01
-27.47	85.23
-27.60	85.44
-27.72	85.66
-27.85	85.88
-27.97	86.10
-28.09	86.31
-28.22	86.53
-28.34	86.75
-28.47	86.96
-28.59	87.18
-28.72	87.40
-28.84	87.61
-28.96	87.83
-29.09	88.05
-29.21	88.27
-29.34	88.48
-29.46	88.70
-29.58	88.92
-29.71	89.13
-29.83	89.35
-29.96	89.57
-30.08	89.79
-30.20	90.00
